*** ESTE FICHERO NO TIENE VALIDEZ LEGAL COMO FACTURA ***
35762900000111731052020010900                                                                                                                                                                          .
357629000001117310520200220205001820200508R424             000742           07072213TORTA GAZPACHO FRESCA 250 JERO1311000000013500000069600000800000000100000000870000000000870001000+                 .
35762900000111731052020022020804192020051820200518         1000/20/04027945 07247737 RECARGA DIGIMOBIL            3726000001000000000053690000007000000100000076694000000076694002100+                 .
35762900000111731052020022020804202020051820200518         1000/20/04027945 07247760RECARGA SIMYO                 6026000001000000000015690000002000000100000078430000000078430002100+                 .
35762900000111731052020022020804212020051920200519         1000/20/04027946 07247703 RECARGA VODAFONE             0326000001000000000007810000001000000100000078099000000078099002100+                 .
35762900000111731052020022020804222020051920200519         1000/20/04027946 07247724 RECARGA LYCAMOBILE           2426000001000000000019630000002500000100000078515000000078515002100+                 .
35762900000111731052020022020804232020051920200519         1000/20/04027946 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804242020051920200519         1000/20/04027946 07247760RECARGA SIMYO                 6026000001000000000003920000000500000100000078430000000078430002100+                 .
35762900000111731052020022020804252020052020200520         1000/20/04027947 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020804262020052020200520         1000/20/04027947 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804272020052020200520         1000/20/04027947 07247760RECARGA SIMYO                 6026000001000000000003920000000500000100000078430000000078430002100+                 .
35762900000111731052020022020804282020052120200521         1000/20/04027948 07247711 RECARGA ORANGE               1126000001000000000003920000000500000100000078347000000078347002100+                 .
35762900000111731052020022020804292020052120200521         1000/20/04027948 07247737 RECARGA DIGIMOBIL            3726000001000000000023010000003000000100000076694000000076694002100+                 .
35762900000111731052020022020804302020052220200522         1000/20/04028096 07247703 RECARGA VODAFONE             0326000001000000000007810000001000000100000078099000000078099002100+                 .
35762900000111731052020022020804312020052220200522         1000/20/04028096 07247708RECARGA MOVISTAR              0826000001000000000023800000003000000100000079339000000079339002100+                 .
35762900000111731052020022020804322020052220200522         1000/20/04028096 07247711 RECARGA ORANGE               1126000001000000000015670000002000000100000078347000000078347002100+                 .
35762900000111731052020022020804332020052220200522         1000/20/04028096 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020804342020052220200522         1000/20/04028096 07247737 RECARGA DIGIMOBIL            3726000001000000000057520000007500000100000076694000000076694002100+                 .
35762900000111731052020022020804352020052320200523         1000/20/04028097 07247737 RECARGA DIGIMOBIL            3726000001000000000011500000001500000100000076694000000076694002100+                 .
35762900000111731052020022020804362020052520200525         1000/20/04029043 07247703 RECARGA VODAFONE             0326000001000000000011710000001500000100000078099000000078099002100+                 .
35762900000111731052020022020804372020052520200525         1000/20/04029043 07247737 RECARGA DIGIMOBIL            3726000001000000000015340000002000000100000076694000000076694002100+                 .
35762900000111731052020022020804382020052620200526         1000/20/04029044 07247711 RECARGA ORANGE               1126000001000000000015670000002000000100000078347000000078347002100+                 .
35762900000111731052020022020804392020052620200526         1000/20/04029044 07247737 RECARGA DIGIMOBIL            3726000001000000000011500000001500000100000076694000000076694002100+                 .
35762900000111731052020022020804402020052820200528         1000/20/04029046 07247703 RECARGA VODAFONE             0326000001000000000015620000002000000100000078099000000078099002100+                 .
35762900000111731052020022020804412020052820200528         1000/20/04029046 07247708RECARGA MOVISTAR              0826000001000000000007930000001000000100000079339000000079339002100+                 .
35762900000111731052020022020804422020052820200528         1000/20/04029046 07247724 RECARGA LYCAMOBILE           2426000001000000000015700000002000000100000078515000000078515002100+                 .
35762900000111731052020022020804432020052820200528         1000/20/04029046 07247737 RECARGA DIGIMOBIL            3726000001000000000026840000003500000100000076694000000076694002100+                 .
35762900000111731052020022020804442020052920200529         1000/20/04029193 07247737 RECARGA DIGIMOBIL            3726000001000000000011500000001500000100000076694000000076694002100+                 .
35762900000111731052020022020804452020053020200530         1000/20/04029194 07247703 RECARGA VODAFONE             0326000001000000000011710000001500000100000078099000000078099002100+                 .
35762900000111731052020022020804462020053020200530         1000/20/04029194 07247716RECARGA YOIGO                 1626000001000000000011650000001500000100000077686000000077686002100+                 .
35762900000111731052020022020804472020053020200530         1000/20/04029194 07247724 RECARGA LYCAMOBILE           2426000001000000000003930000000500000100000078515000000078515002100+                 .
35762900000111731052020022020804482020053020200530         1000/20/04029194 07247737 RECARGA DIGIMOBIL            3726000001000000000019170000002500000100000076694000000076694002100+                 .
35762900000111731052020040100000000200910000014260000000000000000058310000005540000001455100000014550000000000000000000016006+                                                                         .
35762900000111731052020040210000001450350000136170000000000000000088650000008427000013660800000286880000000000000000000165296+                                                                         .
